(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0433727627642441,0.4,0.12661455689705,0.4,0.069349797741837,0.4,0.0158381793026099,0.4,0.0922523353159584,0.4,0.0980770535396784
1.4,0.0469932912701933,1.4,0.127353365161676,1.4,0.0726019651559357,1.4,0.0158877658525401,1.4,0.0925588328481687,1.4,0.099120087051023
2.4,0.0502729091910357,2.4,0.128026267735689,2.4,0.075543003299692,2.4,0.0159339779441669,2.4,0.0928138212830503,2.4,0.100085395011084
3.4,0.0529563443176589,3.4,0.128574816411491,3.4,0.0779258597790017,3.4,0.0159722406418849,3.4,0.0929989240791076,3.4,0.100894419165262
4.4,0.054860557546356,4.4,0.1289554760253,4.4,0.0795713099313233,4.4,0.0159985462047755,4.4,0.0931035326060562,4.4,0.101486611660217
5.4,0.0558928615237972,5.4,0.129147584839952,5.4,0.0803901825859282,5.4,0.016010151027707,5.4,0.093127474659865,5.4,0.101826862385292
6.4,0.0560554462280925,6.4,0.129154787791949,6.4,0.0803907242451973,6.4,0.0160057726526129,6.4,0.0930805831832359,6.4,0.101907472446648
7.4,0.0554347053129433,7.4,0.129001899709604,7.4,0.0796704857652927,7.4,0.0159858304225761,7.4,0.0929796731736537,7.4,0.101746725210792
8.4,0.054182115245678,8.4,0.128730863817138,8.4,0.0783965410725594,8.4,0.015951930864985,8.4,0.0928454080582852,8.4,0.101384125073269
9.4,0.0524840983469289,9.4,0.128392387565532,9.4,0.0767745431159966,9.4,0.0159070775552709,9.4,0.0926981160897949,9.4,0.100871921850138
10.4,0.0505358256909005,10.4,0.128036623725595,10.4,0.0750152988189623,10.4,0.0158551719150454,10.4,0.0925550492153365,10.4,0.10026652972045
11.4,0.0485196077404116,11.4,0.127705903992499,11.4,0.0733078245274218,11.4,0.0158007761874048,11.4,0.0924264270492878,11.4,0.0996231374382469
12.4,0.0465885811154728,12.4,0.127429843675516,12.4,0.071796996889741,12.4,0.0157488977280545,12.4,0.0923151994440029,12.4,0.0989894242138085
13.4,0.0448596851883161,13.4,0.127221931064012,13.4,0.0705723674138372,13.4,0.015704702046607,13.4,0.0922185228865958,13.4,0.0984032207072744
14.4,0.0434097647448326,14.4,0.127080803816559,14.4,0.0696659806812103,14.4,0.0156729066451194,14.4,0.0921293161260282,14.4,0.0978918303801377
15.4,0.0422829688105281,15.4,0.126994247739554,15.4,0.0690631500680726,15.4,0.0156569767361854,15.4,0.0920411679729212,15.4,0.0974725901100006
16.4,0.0414951952085872,16.4,0.126943240503595,16.4,0.068715006469977,16.4,0.0156587192724764,16.4,0.0919507579707532,16.4,0.0971547179324373
17.4,0.0410410693269877,17.4,0.126907931682055,17.4,0.0685544863343414,17.4,0.0156779758872529,17.4,0.0918604868616638,17.4,0.0969406405851382
18.4,0.0408971757791831,18.4,0.126873577769151,18.4,0.0685141544320879,18.4,0.0157120511071411,18.4,0.0917782709727383,18.4,0.0968271911049416
19.4,0.0410286231023008,19.4,0.126831317991421,19.4,0.0685378464509491,19.4,0.0157562872818519,19.4,0.0917167964065829,19.4,0.0968052586477112
20.4,0.041385898467028,20.4,0.126781919597795,20.4,0.0685861560252252,20.4,0.015804453855212,20.4,0.0916899308567726,20.4,0.0968622449351457
21.4,0.0419123767086359,21.4,0.126732871086771,21.4,0.0686385877636178,21.4,0.0158495419173507,21.4,0.0917091383344379,21.4,0.0969819578487248
22.4,0.042542475891041,22.4,0.12669643190919,22.4,0.0686903057237076,22.4,0.0158851576065794,22.4,0.0917795472610758,22.4,0.0971455394831425
23.4,0.0432065330654762,23.4,0.126686211558425,23.4,0.0687449747583148,23.4,0.0159066695396413,23.4,0.0918968829369251,23.4,0.0973334038129391
24.4,0.0438378421062873,24.4,0.12671384826213,24.4,0.0688092310863856,24.4,0.0159121001684212,24.4,0.0920491706793335,24.4,0.0975273059962902
25.4,0.0443783644589574,25.4,0.126783961405069,25.4,0.0688858454635067,25.4,0.015902473283933,25.4,0.0922174738098493,25.4,0.0977115929952979
