(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0717142965970508,0.4,0.165878129854494,0.4,0.0832405548894009,0.4,0.0295151132074877,0.4,0.164729297774479,0.4,0.203336690384088
1.4,0.0718327765771102,1.4,0.164994572581489,1.4,0.0836085017681338,1.4,0.0294110205002036,1.4,0.16440268103408,1.4,0.202687635914599
2.4,0.0718555168947892,2.4,0.164184909438702,2.4,0.0839581194426692,2.4,0.029309503039979,2.4,0.164159428985084,2.4,0.202090888504946
3.4,0.0717673632956064,3.4,0.16350201276013,3.4,0.0842490034781225,3.4,0.0292084878217932,3.4,0.163999557227459,3.4,0.201578930070818
4.4,0.0715804939873551,4.4,0.162980167467743,4.4,0.084453360474554,4.4,0.0291062116073208,4.4,0.163910058853908,4.4,0.201179862926884
5.4,0.0713281010901307,5.4,0.162629156816982,5.4,0.0845538707396495,5.4,0.0290032735208218,5.4,0.163869023117828,5.4,0.200914061993926
6.4,0.0710630175901858,6.4,0.162435220999228,6.4,0.0845496241326219,6.4,0.02890254999005,6.4,0.163846440905492,6.4,0.200793383919767
7.4,0.0708439278222897,7.4,0.162367194533997,7.4,0.0844532630711574,7.4,0.028808947816921,7.4,0.163813003650742,7.4,0.200816339432784
8.4,0.0707255290837067,8.4,0.16238122445945,8.4,0.084281758026444,8.4,0.028730496326305,8.4,0.163747292865262,8.4,0.200972973503337
9.4,0.0707437454119177,9.4,0.162433279121542,9.4,0.0840598028361991,9.4,0.0286754728140107,9.4,0.163638337864022,9.4,0.201241368384979
10.4,0.0709097936100623,10.4,0.162487629133225,10.4,0.0838088099639688,10.4,0.0286496613023168,10.4,0.163491556609264,10.4,0.201588751799694
11.4,0.0712034884208585,11.4,0.162520908505153,11.4,0.0835478761576838,11.4,0.0286566439665506,11.4,0.163323300962629,11.4,0.201976662811049
12.4,0.0715861696934308,12.4,0.162529510603062,12.4,0.0832943779347117,12.4,0.0286955657685019,12.4,0.163164025891252,12.4,0.20236107570132
13.4,0.0720032585463762,13.4,0.162522788479182,13.4,0.0830629158491556,13.4,0.0287630022579597,13.4,0.163048075092882,13.4,0.202706754531285
14.4,0.0724018506737375,14.4,0.162524936735689,14.4,0.0828698356060544,14.4,0.0288514376267683,14.4,0.163010705157278,14.4,0.202990063017488
15.4,0.072740994998344,15.4,0.162560722783129,15.4,0.0827276611614521,15.4,0.0289525292861688,15.4,0.163075517293196,15.4,0.203199029241469
16.4,0.0729989401254301,16.4,0.162652561991051,16.4,0.0826532159767826,16.4,0.0290577913930089,16.4,0.163256273683339,16.4,0.203338690857769
17.4,0.0731755881846687,17.4,0.162811883598203,17.4,0.0826561818337896,17.4,0.0291598488716313,17.4,0.163545302328072,17.4,0.203424823316673
18.4,0.0732879447180428,18.4,0.163033244685714,18.4,0.0827392907215661,18.4,0.029252966659205,18.4,0.163917819206316,18.4,0.203476644869662
19.4,0.0733616947100006,19.4,0.163297895635371,19.4,0.0828955321563506,19.4,0.0293346169304964,19.4,0.164333690993283,19.4,0.203515847671098
20.4,0.0734192254310604,20.4,0.163571000134194,20.4,0.0831012208316166,20.4,0.0294024575081561,20.4,0.164741306697278,20.4,0.203551389674196
21.4,0.073472593390556,21.4,0.163815460944648,21.4,0.0833262385219215,21.4,0.0294555507593821,21.4,0.165092165640099,21.4,0.203580540212018
